Nro. Docto;Item;Desc Item;Un Medida;Família Material;Descrição;Família Comercial;Descrição;Estab;Dep;Loc;Quantidade;Lote/Serie;Validade do Lote;Data Ult. Transf.;Usuario;Item Controle Qualidade;Hora do Movimento
234631;91473002;MONITOR GAMER PMG24P980FG;PC;6118;MONITOR GAMER;74598;PMG24P980FG;31;qld;;1;;?;09/11/2023;oliveira.sar;Não;09:26:28
234632;91473002;MONITOR GAMER PMG24P980FG;PC;6118;MONITOR GAMER;74598;PMG24P980FG;31;AT2;;5;;?;09/11/2023;oliveira.sar;Não;09:27:23
2400476;91473003;MONITOR GAMER PMG27C900FG CURVO;PC;6118;MONITOR GAMER;74599;PMG27C900FG CURV;31;EX3;;4;;?;06/02/2024;daiane.luza;Não;06:48:36
64568;91473005;MONITOR GAMER PMG30C900WFG CURVO ULTRA WIDE;PC;6118;MONITOR GAMER;74601;PMG30C900WFG CU;31;AJT;;1;;?;29/02/2024;correa.ferna;Não;16:25:45
1022;96051004;MICROONDAS PMS26 127V;PC;50000;MICROONDAS;950039;PMS26;31;EX2;;2;;?;06/08/2023;lorenzo.assi;Não;10:36:50
64381;96051015;MICROONDAS PME31BM 127V;PC;50001;MICROONDAS DE EMBUTIR;950054;PME31BM;31;QLD;;71;;?;27/02/2024;evandro.soar;Não;09:28:01
2417211;96051015;MICROONDAS PME31BM 127V;PC;50001;MICROONDAS DE EMBUTIR;950054;PME31BM;31;EX3;;2;;?;15/02/2024;luci.lara;Não;21:58:06
244163;96051015;MICROONDAS PME31BM 127V;PC;50001;MICROONDAS DE EMBUTIR;950054;PME31BM;31;EX2;;556;;?;28/02/2024;tarefa.auto;Não;13:23:58
2386017;96051015;MICROONDAS PME31BM 127V;PC;50001;MICROONDAS DE EMBUTIR;950054;PME31BM;31;ESE;;1615;;?;19/01/2024;santos.silv;Não;09:38:28
;96051020;MICROONDAS PME31 127V;PC;50000;MICROONDAS;950059;PME31;31;AMT;AMT-PHILCO II;1;;?;06/11/2023;vera.nilce;Não;10:17:33
ATEND. AT2;96051022;MICROONDAS PME25 127V;PC;50000;MICROONDAS;950064;PME25;31;AT2;;10;;?;19/08/2022;junior.joao;Não;16:22:55
649105;96051031;MICROONDAS PME25 V 127V;PC;50000;MICROONDAS;950082;PME25 V ;31;QLD;;1;;?;28/06/2022;luciano.lope;Não;16:44:47
1764661;96051034;MICROONDAS PMR24 127V;PC;50000;MICROONDAS;950085;MICROONDAS PMR24;31;EX3;;2;;?;28/03/2022;daiane.luza;Não;10:08:02
QL2/EX3;96051046;MICRO-ONDAS PMO26ES 127V;PC;50000;MICROONDAS;950097;PMO26ES;31;ql2;;1;;?;21/12/2023;rodrigo.teix;Não;14:15:32
37052171;96051046;MICRO-ONDAS PMO26ES 127V;PC;50000;MICROONDAS;950097;PMO26ES;31;DAT;;1;;?;19/02/2024;thayane.eric;Não;06:31:48
64568;96051050;MICROONDAS PMO26INOX 127V;PC;50000;MICROONDAS;950102;PMO26INOX;31;AJT;;1;;?;29/02/2024;correa.ferna;Não;16:25:50
230195;96051050;MICROONDAS PMO26INOX 127V;PC;50000;MICROONDAS;950102;PMO26INOX;31;ql2;;2;;?;06/09/2023;oliveira.sar;Não;09:40:58
91;96051056;MICRO-ONDAS PMO33B 127V;PC;50000;MICROONDAS;950108;PMO33B;31;qld;;2;;?;07/11/2023;lorenzo.assi;Não;10:43:35
AJU-SGS;96051073;MICROONDAS PMR26V 127V;PC;50000;MICROONDAS;950132;PMR26V;31;QLD;;4;;?;21/08/2023;cristiano.ro;Não;10:27:35
39373;96051091;MICRO-ONDAS PMO23B 127V;PC;50000;MICROONDAS;950151;PMO23B;31;TR2;;91;;?;29/02/2024;thiago.calde;Não;11:25:34
2431700;96051091;MICRO-ONDAS PMO23B 127V;PC;50000;MICROONDAS;950151;PMO23B;31;QLD;;1;;?;29/02/2024;ana.amaral;Não;08:49:54
499831;96051091;MICRO-ONDAS PMO23B 127V;PC;50000;MICROONDAS;950151;PMO23B;31;DAT;;6;;?;13/02/2024;isabela.heni;Não;16:46:58
